component_id,component_type
9999,none
C-0001,comp_sleeve
C-0002,comp_sleeve
C-0003,comp_sleeve
C-0004,comp_nut
C-0005,comp_adaptor
C-0006,comp_adaptor
C-0007,comp_threaded
C-0008,comp_boss
C-0009,comp_boss
C-0010,comp_other
C-0011,comp_other
C-0012,comp_straight
C-0013,comp_elbow
C-0014,comp_straight
C-0015,comp_straight
C-0016,comp_elbow
C-0017,comp_elbow
C-0018,comp_elbow
C-0019,comp_straight
C-0020,comp_boss
C-0021,comp_elbow
C-0022,comp_elbow
C-0023,comp_elbow
C-0024,comp_other
C-0025,comp_other
C-0026,comp_other
C-0027,comp_float
C-0028,comp_elbow
C-0029,comp_straight
C-0030,comp_threaded
C-0031,comp_other
C-0032,comp_other
C-0033,comp_other
C-0034,comp_other
C-0035,comp_nut
C-0036,comp_straight
C-0037,comp_other
C-0038,comp_straight
C-0039,comp_other
C-0040,comp_other
C-0041,comp_threaded
C-0042,comp_elbow
C-0043,comp_threaded
C-0044,comp_threaded
C-0045,comp_other
C-0046,comp_straight
C-0047,comp_other
C-0048,comp_sleeve
C-0049,comp_sleeve
C-0050,comp_sleeve
C-0051,comp_sleeve
C-0052,comp_sleeve
C-0053,comp_sleeve
C-0054,comp_boss
C-0055,comp_other
C-0056,comp_other
C-0057,comp_other
C-0058,comp_sleeve
C-0059,comp_sleeve
C-0060,comp_sleeve
C-0061,comp_elbow
C-0062,comp_straight
C-0063,comp_elbow
C-0064,comp_other
C-0065,comp_elbow
C-0066,comp_elbow
C-0067,comp_other
C-0068,comp_other
C-0069,comp_threaded
C-0070,comp_threaded
C-0071,comp_boss
C-0072,comp_threaded
C-0073,comp_threaded
C-0074,comp_threaded
C-0075,comp_elbow
C-0076,comp_elbow
C-0077,comp_threaded
C-0078,comp_threaded
C-0079,comp_straight
C-0080,comp_straight
C-0081,comp_straight
C-0082,comp_boss
C-0083,comp_boss
C-0084,comp_boss
C-0085,comp_other
C-0086,comp_straight
C-0087,comp_other
C-0088,comp_other
C-0089,comp_other
C-0090,comp_elbow
C-0091,comp_other
C-0092,comp_other
C-0093,comp_straight
C-0094,comp_elbow
C-0095,comp_nut
C-0096,comp_sleeve
C-0097,comp_nut
C-0098,comp_other
C-0099,comp_other
C-0100,comp_other
C-0101,comp_sleeve
C-0102,comp_nut
C-0103,comp_other
C-0104,comp_elbow
C-0105,comp_elbow
C-0106,comp_elbow
C-0107,comp_elbow
C-0108,comp_other
C-0109,comp_other
C-0110,comp_straight
C-0111,comp_boss
C-0112,comp_other
C-0113,comp_other
C-0114,comp_other
C-0115,comp_straight
C-0116,comp_other
C-0117,comp_boss
C-0118,comp_other
C-0119,comp_threaded
C-0120,comp_other
C-0121,comp_other
C-0122,comp_straight
C-0123,comp_other
C-0124,comp_other
C-0125,comp_other
C-0126,comp_other
C-0127,comp_other
C-0128,comp_other
C-0129,comp_other
C-0130,comp_other
C-0131,comp_straight
C-0132,comp_straight
C-0133,comp_threaded
C-0134,comp_nut
C-0135,comp_other
C-0136,comp_other
C-0137,comp_straight
C-0138,comp_straight
C-0139,comp_other
C-0140,comp_elbow
C-0141,comp_straight
C-0142,comp_straight
C-0143,comp_elbow
C-0144,comp_other
C-0145,comp_other
C-0146,comp_straight
C-0147,comp_straight
C-0148,comp_other
C-0149,comp_other
C-0150,comp_straight
C-0151,comp_boss
C-0152,comp_elbow
C-0153,comp_other
C-0154,comp_straight
C-0155,comp_other
C-0156,comp_straight
C-0157,comp_straight
C-0158,comp_straight
C-0159,comp_threaded
C-0160,comp_elbow
C-0161,comp_boss
